Kanji,Kana,Romaji,Type,Meaning
抱える,かかえる,kakaeru,V-ichi,to hold or carry under or in the arms
価格,かかく,kakaku,N,"price, value"
化学,かがく,kagaku,N,chemistry
輝く,かがやく,kagayaku,V-godan,"to shine, to glitter, to sparkle"
係,かかり,kakari,N,person in charge
罹る,かかる,kakaru,V-godan,to suffer from
限る,かぎる,kagiru,V-ichi,"to restrict, to limit, to confine"
掻く,かく,kaku,V-godan,to scratch
描く,かく,kaku,V-godan,"to draw, to depict, to describe"
嗅ぐ,かぐ,kagu,V-godan,"to sniff, to smell"
家具,かぐ,kagu,N,furniture
学,がく,gaku,N,"learning, knowledge"
額,がく,gaku,N,"amount, frame"
覚悟,かくご,kakugo,N,"resolution, resignation, readiness"
確実,かくじつ,kakujitsu,N,"certainty, reliability, soundness"
学者,がくしゃ,gakusha,N,scholar
学習,がくしゅう,gakushuu,N,"study, learning"
隠す,かくす,kakusu,V-godan,"to hide, to conceal"
拡大,かくだい,kakudai,N,"magnification, enlargement"
確認,かくにん,kakunin,N,"affirmation, confirmation"
学問,がくもん,gakumon,N,"scholarship, study, learning"
隠れる,かくれる,kakureru,V-ichi,"to hide, to be hidden"
影,かげ,kage,N,"shade, shadow, other side"
陰,かげ,kage,N,"shade, shadow, other side"
欠ける,かける,kakeru,V-ichi,to be lacking
加減,かげん,kagen,N,adjustment
過去,かこ,kako,N,past
籠,かご,kago,N,"basket, cage"
囲む,かこむ,kakomu,V-godan,"to surround, to encircle"
火災,かさい,kasai,N,"conflagration, fire"
重なる,かさなる,kasanaru,V-godan,to be piled up
重ねる,かさねる,kasaneru,V-ichi,to pile up
飾り,かざり,kazari,N,decoration
貸し,かし,kashi,N,"loan, lending"
菓子,かし,kashi,N,"confectionery, sweet"
家事,かじ,kaji,N,"household matters, housework )"
賢い,かしこい,kashikoi,N,"wise, clever, smart"
歌手,かしゅ,kashu,N,singer
数,かず,kazu,N,"number, figure, amount"
稼ぐ,かせぐ,kasegu,V-godan,"to earn income, to labor"
数える,かぞえる,kazoeru,V-ichi,to count
型,かた,kata,N,"mold, model, style"
肩,かた,kata,N,shoulder
堅い,かたい,katai,N,"hard, firm, solid"
硬い,かたい,katai,N,"hard, firm, solid"
方々,かたがた,katagata,N,persons
片付く,かたづく,katadzuku,V-godan,"to put in order, to solve"
刀,かたな,katana,N,"sword, saber"
語る,かたる,kataru,V-godan,"to talk, to tell, to recite"
勝ち,かち,kachi,N,"win, victory"
価値,かち,kachi,N,"value, worth, merit"
がっかり,がっかり,gakkari,N,"feel disappointed, be dejected"
活気,かっき,kakki,N,"vigor, liveliness, vitality"
楽器,がっき,gakki,N,musical instrument
学期,がっき,gakki,N,term
活動,かつどう,katsudou,N,"action, activity"
活躍,かつやく,katsuyaku,N,activity
活用,かつよう,katsuyou,N,"conjugation, practical use"
仮定,かてい,katei,N,"assumption, supposition"
過程,かてい,katei,N,process
課程,かてい,katei,N,"course, curriculum"
悲しむ,かなしむ,kanashimu,V-godan,"to be sad, to mourn for, to regret"
必ずしも,かならずしも,kanarazushimo,N,"always, necessarily"
かなり,かなり,kanari,N,"considerably, fairly, quite"
金,かね,kane,N,"gold, metal, money"
鐘,かね,kane,N,"bell, chime"
可能,かのう,kanou,N,"possible, practicable, feasible"
株,かぶ,kabu,N,"stock, stump"
被る,かぶる,kaburu,V-godan,"to wear, to be covered with"
我慢,がまん,gaman,N,"patience, endurance, perseverance"
上,かみ,kami,N,"first volume, superior quality"
神,かみ,kami,N,god
雷,かみなり,kaminari,N,thunder
髪の毛,かみのけ,kaminoke,N,hair
科目,かもく,kamoku,N,"subject, curriculum, course"
かもしれない,かもしれない,kamoshirenai,Adv,"maybe, perhaps"
かゆい,かゆい,kayui,い-A,"itchy, itching"
歌謡,かよう,kayou,N,"song, ballad"
空,から,kara,N,empty
殻,から,kara,N,"shell, husk, hull"
柄,がら,gara,N,"pattern, build, character"
刈る,かる,karu,V-godan,"to cut, to mow, to harvest"
河,かわ,kawa,N,"river, stream"
皮,かわ,kawa,N,"skin, hide, leather"
革,かわ,kawa,N,leather
可愛そう,かわいそう,kawaisou,N,"poor, pitiable, pathetic"
可愛らしい,かわいらしい,kawairashii,い-A,"lovely, sweet"
乾かす,かわかす,kawakasu,V-godan,to dry
渇く,かわく,kawaku,V-godan,to be thirsty
代る,かわる,kawaru,V-godan,"to take the place of, to relieve"
缶,かん,kan,N,"can, tin"
勘,かん,kan,N,"perception, intuition"
考え,かんがえ,kangae,N,"thinking, thought, ideas"
感覚,かんかく,kankaku,N,"sense, sensation"
間隔,かんかく,kankaku,N,"space, interval, SPC"
観客,かんきゃく,kankyaku,N,"audience, spectator"
環境,かんきょう,kankyou,N,"environment, circumstance"
歓迎,かんげい,kangei,Expr,"welcome, reception"
観光,かんこう,kankou,N,sightseeing
観察,かんさつ,kansatsu,N,"observation, survey"
感じ,かんじ,kanji,N,"feeling, sense, impression"
感謝,かんしゃ,kansha,N,"thanks, gratitude"
患者,かんじゃ,kanja,N,patient
勘定,かんじょう,kanjou,N,"calculation, counting"
感情,かんじょう,kanjou,N,"emotion, feeling, sentiment"
感じる,かんじる,kanjiru,V-ichi,"to feel, to sense"
感心,かんしん,kanshin,N,admiration
関心,かんしん,kanshin,N,"concern, interest"
関する,かんする,kansuru,V-suru,"to concern, to be related"
完成,かんせい,kansei,N,"complete, completion, perfection"
完全,かんぜん,kanzen,な-A,"perfection, completeness"
乾燥,かんそう,kansou,N,"dry, arid, dehydrated"
感想,かんそう,kansou,N,"impressions, thoughts"
感動,かんどう,kandou,N,"being deeply moved, excitement"
監督,かんとく,kantoku,N,"supervision, control, director"
管理,かんり,kanri,N,"control, management (e.g."
完了,かんりょう,kanryou,N,"completion, conclusion"
関連,かんれん,kanren,N,"relation, connection, relevance"
議員,ぎいん,giin,N,"member of the Diet, congress"
記憶,きおく,kioku,N,"memory, recollection, remembrance"
気温,きおん,kion,N,temperature
機械,きかい,kikai,N,"machine, machinery"
器械,きかい,kikai,N,instrument
議会,ぎかい,gikai,N,"Diet, congress, parliament"
期間,きかん,kikan,N,"period, term"
機関,きかん,kikan,N,"engine, institution, organization"
企業,きぎょう,kigyou,N,"industry, business, undertaking"
効く,きく,kiku,V-godan,to be effective
期限,きげん,kigen,N,"deadline, term"
機嫌,きげん,kigen,N,"humor, temper, mood"
気候,きこう,kikou,N,climate
岸,きし,kishi,N,"bank, coast, shore"
生地,きじ,kiji,N,"fabric, dough"
記事,きじ,kiji,N,"article, news story"
技師,ぎし,gishi,N,"engineer, technician"
記者,きしゃ,kisha,N,reporter
傷,きず,kizu,N,"wound, injury, hurt"
期待,きたい,kitai,N,"expectation, anticipation, hope"
気体,きたい,kitai,N,"vapor, gas"
帰宅,きたく,kitaku,N,returning home
貴重,きちょう,kichou,N,"precious, valuable"
議長,ぎちょう,gichou,N,chairman
きちんと,きちんと,kichinto,N,"precisely, accurately"
きつい,きつい,kitsui,い-A,"tight, close, intense"
気付く,きづく,kidzuku,V-godan,"to notice, to recognize"
気に入る,きにいる,kiniiru,V-ichi,"to like, to be please"
記入,きにゅう,kinyuu,N,"entry, filling in of forms"
記念,きねん,kinen,N,"commemoration, memory"
機能,きのう,kinou,N,"function, faculty"
気の毒,きのどく,kinodoku,N,"pitiful, a pity"
寄付,きふ,kifu,N,"contribution, donation"
希望,きぼう,kibou,N,"hope, wish, aspiration"
基本,きほん,kihon,N,"basic, basis"
決まり,きまり,kimari,N,"settlement, conclusion, rule"
気味,きみ,kimi,N,"-like, -looking, -looked"
奇妙,きみょう,kimyou,な-A,"strange, queer, curious"
義務,ぎむ,gimu,N,"duty, obligation, responsibility"
疑問,ぎもん,gimon,N,"question, problem, doubt"
逆,ぎゃく,gyaku,N,"reverse, opposite"
キャプテン,キャプテン,kyaputen,N(kat),captain
キャンプ,キャンプ,kyanpu,N(kat),camp
旧,きゅう,kyuu,N,ex-
級,きゅう,kyuu,N,"class, grade, rank"
球,きゅう,kyuu,N,"globe, sphere, ball"
休暇,きゅうか,kyuuka,N,"vacation, holiday, day off"
休憩,きゅうけい,kyuukei,N,"rest, break, intermission"
急激,きゅうげき,kyuugeki,N,"sudden, precipitous, radical"
吸収,きゅうしゅう,kyuushuu,N,"absorption, suction"
救助,きゅうじょ,kyuujo,N,"relief, aid, rescue"
急速,きゅうそく,kyuusoku,N,"rapid (e.g., progress)"
休息,きゅうそく,kyuusoku,N,"rest, relief, relaxation"
急に,きゅうに,kyuuni,Adv,suddenly
給料,きゅうりょう,kyuuryou,N,"salary, wages"
器用,きよう,kiyou,な-A,"skillful, handy"
教科書,きょうかしょ,kyoukasho,N,textbook
競技,きょうぎ,kyougi,N,"game, match, contest"
行儀,ぎょうぎ,gyougi,N,manners
供給,きょうきゅう,kyoukyuu,N,"supply, provision"
教授,きょうじゅ,kyouju,N,"teaching, instruction, professor"
強調,きょうちょう,kyouchou,N,"emphasis, stress, stressed point"
共通,きょうつう,kyoutsuu,N,"commonness, mutual"
共同,きょうどう,kyoudou,N,"cooperation, association"
恐怖,きょうふ,kyoufu,N,"fear, terror"
協力,きょうりょく,kyouryoku,N,"cooperation, collaboration"
強力,きょうりょく,kyouryoku,N,"powerful, strong"
許可,きょか,kyoka,N,"permission, approval"
局,きょく,kyoku,N,"office, bureau, station(TV, radio)"
巨大,きょだい,kyodai,N,"huge, gigantic, enormous"
嫌う,きらう,kirau,V-godan,"to hate, to dislike, to loathe"
霧,きり,kiri,N,"fog, mist"
切れ,きれ,kire,N,"cloth, piece, cut"
切れる,きれる,kireru,V-ichi,"to cut well, to be sharp, to break"
記録,きろく,kiroku,N,"record, minutes, document"
議論,ぎろん,giron,N,"argument, discussion, dispute"
金,きん,kin,N,"gold, metal, money"
銀,ぎん,gin,N,silver
禁煙,きんえん,kinen,N,No Smoking
金額,きんがく,kingaku,N,amount of money
金庫,きんこ,kinko,な-A,"safe, vault"
禁止,きんし,kinshi,N,"prohibition, ban"
金銭,きんせん,kinsen,N,"money, cash"
金属,きんぞく,kinzoku,N,metal
近代,きんだい,kindai,N,modern times
緊張,きんちょう,kinchou,N,"tension, mental strain"
筋肉,きんにく,kinniku,N,"muscle, sinews"
金融,きんゆう,kinyuu,N,"finance, money and banking"
句,く,ku,N,phrase
食う,くう,kuu,N,to eat
偶然,ぐうぜん,guuzen,N,"chance, unexpectedly"
臭い,くさい,kusai,い-A,"stinky, smelly, bad-smelling"
鎖,くさり,kusari,N,chain
腐る,くさる,kusaru,V-godan,"to rot, to go bad"
癖,くせ,kuse,N,"a habit, peculiarity"
管,くだ,kuda,N,"pipe, tube"
具体,ぐたい,gutai,N,"concrete, tangible, material"
下り,くだり,kudari,N,down-train
下る,くだる,kudaru,V-godan,"to get down, to descend"
苦痛,くつう,kutsuu,N,"pain, agony"
ぐっすり,ぐっすり,gussuri,N,"sound asleep, fast asleep"
区別,くべつ,kubetsu,N,"distinction, differentiation"
組,くみ,kumi,N,"class, team, set"
組合,くみあい,kumiai,N,"association, union"
組む,くむ,kumu,V-godan,to put together
汲む,くむ,kumu,V-godan,"to draw, to scoop, to pump"
酌む,くむ,kumu,V-godan,to serve sake
悔しい,くやしい,kuyashii,N,"regrettable, mortifying, vexing"
位,くらい,kurai,N,"grade, rank, about"
暮らし,くらし,kurashi,N,"living, life style"
クラシック,クラシック,kurashikku,N(kat),classic
暮らす,くらす,kurasu,V-godan,"to live, to get along"
グラス,グラス,gurasu,N(kat),"glass, grass"
グランド,グランド,gurando,N(kat),"gland, grand, ground"
クリーム,クリーム,kuriimu,N(kat),cream
繰り返す,くりかえす,kurikaesu,V-godan,to repeat
クリスマス,クリスマス,kurisumasu,N(kat),Christmas
狂う,くるう,kuruu,V-godan,"to go mad, to get out of order"
グループ,グループ,guruupu,N(kat),group
苦しい,くるしい,kurushii,N,"tough, physically strenuous"
苦しむ,くるしむ,kurushimu,V-godan,"to suffer, to groan, to be worried"
暮れ,くれ,kure,N,year end
苦労,くろう,kurou,N,"hardship, suffering"
加える,くわえる,kuwaeru,V-ichi,"to append, to sum up, to add"
咥える,くわえる,kuwaeru,V-ichi,to hold something in the mouth
詳しい,くわしい,kuwashii,N,"detailed, full, accurate"
加わる,くわわる,kuwawaru,V-godan,"to join in, to accede to"
訓,くん,kun,N,native Japanese reading of a Chinese character
軍,ぐん,gun,N,"army, force, troops"
郡,ぐん,gun,N,"country, district"
軍隊,ぐんたい,guntai,N,"army, troops"
訓練,くんれん,kunren,N,"practice, training"
下,げ,ge,N,"under, below, beneath"
計,けい,kei,N,"plan, sum, total"
敬意,けいい,keii,N,"respect, honor"
経営,けいえい,keiei,N,"management, administration"
景気,けいき,keiki,N,"condition, state, business"
傾向,けいこう,keikou,N,"tendency, trend, inclination"
警告,けいこく,keikoku,N,warning
計算,けいさん,keisan,N,"calculation, reckoning"
掲示,けいじ,keiji,N,"notice, bulletin"
刑事,けいじ,keiji,N,"criminal case, detective"
芸術,げいじゅつ,geijutsu,N,"art, the arts"
契約,けいやく,keiyaku,N,"contract, compact, agreement"
経由,けいゆ,keiyu,N,"go by the way, via"
ケース,ケース,keesu,N(kat),case
ゲーム,ゲーム,geemu,N(kat),game
劇,げき,geki,N,"drama, play"
劇場,げきじょう,gekijou,N,"theater, playhouse"
化粧,けしょう,keshou,N,make-up
けち,けち,kechi,N,"stinginess, miser"
血液,けつえき,ketsueki,N,blood
結果,けっか,kekka,N,"result, consequence"
欠陥,けっかん,kekkan,N,"defect, fault, deficiency"
結局,けっきょく,kekkyoku,N,"after all, eventually"
決心,けっしん,kesshin,N,"determination, resolution"
欠席,けっせき,kesseki,N,"absence, non-attendance"
決定,けってい,kettei,N,"decision, determination"
欠点,けってん,ketten,N,"faults, defect, weakness"
結論,けつろん,ketsuron,N,conclusion
煙,けむり,kemuri,N,"smoke, fumes"
蹴る,ける,keru,V-ichi,to kick
券,けん,ken,N,"ticket, certificate"
県,けん,ken,N,prefecture
見解,けんかい,kenkai,N,"opinion, point of view"
限界,げんかい,genkai,N,"limit, bound"
現金,げんきん,genkin,N,cash
言語,げんご,gengo,N,language
健康,けんこう,kenkou,N,health
検査,けんさ,kensa,N,"inspection, examination"
現在,げんざい,genzai,N,"now ), present, current"
現実,げんじつ,genjitsu,N,reality
現象,げんしょう,genshou,N,phenomenon
現状,げんじょう,genjou,N,"present condition, status quo"
建設,けんせつ,kensetsu,N,"construction, foundation"
現代,げんだい,gendai,N,"today, present-day"
建築,けんちく,kenchiku,N,"construction, architecture"
見当,けんとう,kentou,N,"estimate, guess"
検討,けんとう,kentou,N,"consideration, examination"
現場,げんば,genba,N,"actual spot, scene, field"
憲法,けんぽう,kenpou,N,constitution
権利,けんり,kenri,N,"right, privilege"
後,ご,go,N,"afterwards, since then"
碁,ご,go,N,Go
恋,こい,koi,N,"love, tender passion"
濃い,こい,koi,い-A,"thick (as of color, liquid), dense"
恋人,こいびと,koibito,N,"lover, sweetheart, girlfriend"
幸運,こううん,kouun,N,"good luck, fortune"
講演,こうえん,kouen,N,"lecture, talk"
効果,こうか,kouka,N,"effect, result"
硬貨,こうか,kouka,N,coin
高価,こうか,kouka,N,high price
豪華,ごうか,gouka,な-A,"luxurious, gorgeous, extravagance"
合格,ごうかく,goukaku,N,"success, passing (e.g., exam)"
交換,こうかん,koukan,N,"exchange, swap"
航空,こうくう,koukuu,N,"aviation, flying"
光景,こうけい,koukei,N,"scene, spectacle"
合計,ごうけい,goukei,N,"sum total, total amount"
攻撃,こうげき,kougeki,N,"attack, strike, offensive"
貢献,こうけん,kouken,N,"contribution, services"
広告,こうこく,koukoku,N,advertisement
交際,こうさい,kousai,N,"friendship, association"
校舎,こうしゃ,kousha,N,school building
後者,こうしゃ,kousha,N,the latter
工場,こうば,kouba,N,"factory, plant"
公正,こうせい,kousei,Adv,"justice, fairness, impartiality"
構成,こうせい,kousei,N,"organization, composition"
高速,こうそく,kousoku,N,"high speed, high gear"
行動,こうどう,koudou,N,"action, conduct, behavior"
強盗,ごうとう,goutou,N,"robbery, burglary"
後輩,こうはい,kouhai,N,junior members of a group
幸福,こうふく,koufuku,N,"happiness, blessedness"
公平,こうへい,kouhei,N,"fairness, impartial, justice"
候補,こうほ,kouho,N,candidacy
考慮,こうりょ,kouryo,N,"consideration, taking into account"
越える,こえる,koeru,V-ichi,"to exceed, to cross over, to cross"
超える,こえる,koeru,V-ichi,"to exceed, to cross over, to cross"
コーチ,コーチ,koochi,N(kat),coach
コード,コード,koodo,N(kat),"code, cord, chord"
氷,こおり,koori,N,"ice, hail"
凍る,こおる,kooru,V-godan,"to freeze, to be frozen over"
ゴール,ゴール,gooru,N(kat),goal
誤解,ごかい,gokai,N,misunderstanding
語学,ごがく,gogaku,N,language study
呼吸,こきゅう,kokyuu,N,"breath, respiration"
故郷,こきょう,kokyou,N,hometown
極,ごく,goku,Adv,"quite, very"
国語,こくご,kokugo,N,national language
国籍,こくせき,kokuseki,N,nationality
黒板,こくばん,kokuban,N,blackboard
克服,こくふく,kokufuku,N,"conquest, overcome"
国民,こくみん,kokumin,N,"national, people, citizen"
穀物,こくもつ,kokumotsu,N,"grain, cereal, corn"
腰,こし,koshi,N,"hip, waist"
胡椒,こしょう,koshou,N,pepper
個人,こじん,kojin,N,"individual, private person"
越す,こす,kosu,V-godan,"to go over (e.g., with audience)"
超す,こす,kosu,V-godan,"to cross, to pass, to tide over"
国家,こっか,kokka,N,"state, country, nation"
国会,こっかい,kokkai,N,"National Diet, parliament"
国境,こっきょう,kokkyou,N,national or state border
骨折,こっせつ,kossetsu,N,bone fracture
小包,こづつみ,kodzutsumi,N,"parcel, package"
琴,こと,koto,N,Japanese harp
異なる,ことなる,kotonaru,V-godan,"to differ, to vary"
諺,ことわざ,kotowaza,N,"proverb, saying"
断る,ことわる,kotowaru,V-godan,"to refuse, to decline, to dismiss"
粉,こな,kona,N,"flour, powder"
好み,このみ,konomi,N,"liking, taste, choice"
好む,このむ,konomu,V-godan,"to like, to prefer"
こぼす,こぼす,kobosu,V-godan,to spill
こぼれる,こぼれる,koboreru,V-ichi,"to overflow, to spill"
塵,ごみ,gomi,N,"garbage, litter"
小麦,こむぎ,komugi,N,wheat
ごめんなさい,ごめんなさい,gomennasai,N,"I beg your pardon, excuse me"
小屋,こや,koya,N,"hut, cabin, shed"
これら,これら,korera,N,these
殺す,ころす,korosu,V-godan,to kill
転ぶ,ころぶ,korobu,V-godan,"to fall down, to fall over"
今回,こんかい,konkai,い-A,"now, this time, lately"
今後,こんご,kongo,N,"from now on, hereafter"
混雑,こんざつ,konzatsu,N,"confusion, congestion"
こんなに,こんなに,konnani,N,"so, like this, in this way"
困難,こんなん,konnan,N,"difficulty, distress"
今日,こんにち,konnichi,N,"today, this day"
こんにちは,こんにちは,konnichiha,Expr,"hello, good day"
婚約,こんやく,konyaku,N,"engagement, betrothal"
混乱,こんらん,konran,N,"chaos, confusion, mayhem"
差,さ,sa,N,"difference, variation"
サービス,サービス,saabisu,N(kat),"service, support system"
際,さい,sai,N,"on the occasion of, circumstances"
最高,さいこう,saikou,N,"highest, supreme, the most"
財産,ざいさん,zaisan,N,"property, fortune, assets"
最終,さいしゅう,saishuu,N,"last, closing"
最中,さいちゅう,saichuu,N,in the middle of
最低,さいてい,saitei,N,"least, lowest, worst"
才能,さいのう,sainou,N,"talent, ability"
裁判,さいばん,saiban,N,"trial, judgment"
材料,ざいりょう,zairyou,N,"ingredients, material"
幸い,さいわい,saiwai,N,"fortunately, luckily"
サイン,サイン,sain,N(kat),"autograph, sign, sine"
境,さかい,sakai,N,"border, boundary, mental state"
逆らう,さからう,sakarau,V-godan,"to go against, to oppose"
盛り,さかり,sakari,N,"helping, serving"
作業,さぎょう,sagyou,N,"work, operation, manufacturing"
裂く,さく,saku,V-godan,"to tear, to split"
昨,さく,saku,N,"last, yesterday"
作品,さくひん,sakuhin,N,"work, opus, production"
作物,さくもつ,sakumotsu,N,"produce (e.g., agricultural)"
桜,さくら,sakura,N,"cherry blossom, cherry tree"
酒,さけ,sake,N,"alcohol, sake"
叫ぶ,さけぶ,sakebu,V-godan,"to shout, to cry"
避ける,さける,sakeru,V-ichi,"to avoid, to ward off, to avert"
支える,ささえる,sasaeru,N,"support, hold, sustain"
刺さる,ささる,sasaru,V-godan,"to stick, to be stuck"
刺す,さす,sasu,V-godan,"to sting, to bite (e.g., bug)"
指す,さす,sasu,V-godan,to point
挿す,さす,sasu,V-godan,"to insert, to put in, to graft"
注す,さす,sasu,V-godan,"to pour, to serve"
射す,さす,sasu,V-godan,"to shine, to strike"
座席,ざせき,zaseki,N,seat
誘う,さそう,sasou,V-godan,"to invite, to tempt, to lure"
札,さつ,satsu,N,"bill, note"
作家,さっか,sakka,N,"author, writer, novelist"
作曲,さっきょく,sakkyoku,N,composition
ざっと,ざっと,zatto,Adv,"roughly, in round numbers"
さっぱり,さっぱり,sappari,N,"feeling refreshed, neat"
さて,さて,sate,Adv,well
砂漠,さばく,sabaku,N,desert
差別,さべつ,sabetsu,N,"discrimination, differentiation"
ママ,ママ,mama,N(kat),Mama
豆,まめ,mame,N,"beans, peas"
守る,まもる,mamoru,V-godan,"to protect, to abide"
迷う,まよう,mayou,V-godan,"to be puzzled, to be perplexed"
丸,まる,maru,N,"circle, full"
円,まる,maru,N,circle
まるで,まるで,marude,Adv,just like
万一,まんいち,manichi,N,"by some chance, if by any chance"
満足,まんぞく,manzoku,N,satisfaction
身,み,mi,N,"body, main part"
実,み,mi,N,"fruit, seed, good result"
見送り,みおくり,miokuri,N,seeing one off
味方,みかた,mikata,N,"ally, supporter"
見事,みごと,migoto,な-A,"splendid, magnificent"
ミス,ミス,misu,N(kat),"miss (mistake, error, failure)"
満ちる,みちる,michiru,V-ichi,"to be full, to mature"
密,みつ,mitsu,N,"thick, close"
認める,みとめる,mitomeru,V-ichi,"to recognize, to notice"
見舞い,みまい,mimai,Expr,expression of sympathy
土産,みやげ,miyage,N,souvenir
都,みやこ,miyako,N,"city, capital"
妙,みょう,myou,な-A,"strange, unusual"
明後日,みょうごにち,myougonichi,N,day after tomorrow
未来,みらい,mirai,N,future
魅力,みりょく,miryoku,N,"charm, fascination, appeal"
診る,みる,miru,V-ichi,to examine
ミルク,ミルク,miruku,N(kat),milk
無,む,mu,N,"nothing, naught, zero"
向かい,むかい,mukai,N,"facing, opposite, across"
迎え,むかえ,mukae,N,meeting
向く,むく,muku,V-godan,to face
剥く,むく,muku,V-godan,"to peel, to skin"
向ける,むける,mukeru,V-ichi,"to turn towards, to point"
無視,むし,mushi,N,"disregard, ignore"
蒸し暑い,むしあつい,mushiatsui,N,"humid, sultry"
虫歯,むしば,mushiba,N,"cavity, tooth decay"
寧ろ,むしろ,mushiro,N,"rather, better, instead"
蒸す,むす,musu,V-godan,"to steam, to poultice"
結ぶ,むすぶ,musubu,V-godan,"to tie, to bind, to link"
無駄,むだ,muda,N,"futility, uselessness"
夢中,むちゅう,muchuu,N,"crush, crazy, be hooked on"
胸,むね,mune,N,"breast, chest"
無料,むりょう,muryou,N,"free, no charge"
芽,め,me,N,sprout
明確,めいかく,meikaku,N,"clear, definite"
名刺,めいし,meishi,N,"card, business card"
名詞,めいし,meishi,N,noun
命じる,めいじる,meijiru,V-ichi,"to order, to command, to appoint"
名人,めいじん,meijin,N,"master, expert"
命令,めいれい,meirei,N,"order, command, decree"
迷惑,めいわく,meiwaku,N,"trouble, bother, annoyance"
目上,めうえ,meue,N,person of higher status
飯,めし,meshi,N,"meals, food"
滅多に,めったに,mettani,Adv,"rarely, seldom"
メモ,メモ,memo,N(kat),"memorandum, note"
面,めん,men,N,"face, mug, surface, side or facet"
綿,めん,men,N,cotton
免許,めんきょ,menkyo,N,"license, permit, certificate"
面接,めんせつ,mensetsu,N,interview
面倒,めんどう,mendou,N,"trouble, attention"
メンバー,メンバー,menbaa,N(kat),member
申し込む,もうしこむ,moushikomu,V-godan,to apply for
申し訳,もうしわけ,moushiwake,N,"apology, excuse"
毛布,もうふ,moufu,N,blanket
燃える,もえる,moeru,V-ichi,to burn
目的,もくてき,mokuteki,N,"purpose, goal, aim"
目標,もくひょう,mokuhyou,N,"mark, objective, target"
文字,もじ,moji,N,"letter, character"
文字,もんじ,monji,N,"letter, character"
もしかすると,もしかすると,moshikasuruto,Adv,"perhaps, maybe, by some chance"
もしも,もしも,moshimo,N,if
持ち上げる,もちあげる,mochiageru,V-ichi,"to raise, to lift up, to flatter"
用いる,もちいる,mochiiru,V-ichi,"to use, to make use of"
もったいない,もったいない,mottainai,N,"wasteful, more than one deserves"
尤も,もっとも,mottomo,Adv,"quite right, plausible, natural"
元,もと,moto,N,"origin, original, former"
基,もと,moto,N,basis
素,もと,moto,N,prime
戻す,もどす,modosu,V-godan,"to restore, to put back, to return"
基づく,もとづく,motodzuku,V-godan,"to be grounded on, to be based on"
求める,もとめる,motomeru,V-ichi,"to request, to ask for, to seek"
者,もの,mono,N,person )
物音,ものおと,monooto,N,sounds
物語,ものがたり,monogatari,N,"tale, story, legend"
物事,ものごと,monogoto,N,"things, everything"
燃やす,もやす,moyasu,V-godan,to burn
模様,もよう,moyou,N,"pattern, figure, design"
文句,もんく,monku,N,a complaint
やがて,やがて,yagate,Adv,"before long, soon, at length"
役,やく,yaku,N,"role, position"
約,やく,yaku,Adv,"approximately, about, some"
訳,やく,yaku,N,translation
訳す,やくす,yakusu,V-godan,to translate
役割,やくわり,yakuwari,N,"assigning  parts, role, duties"
家賃,やちん,yachin,N,rent
厄介,やっかい,yakkai,N,"trouble, burden, care"
宿,やど,yado,N,"inn, lodging"
雇う,やとう,yatou,V-godan,"to employ, to hire"
屋根,やね,yane,N,roof
破る,やぶる,yaburu,V-godan,"to tear, to violate, to defeat"
破れる,やぶれる,yabureru,V-ichi,"to get torn, to wear out"
辞める,やめる,yameru,V-ichi,to retire
やや,やや,yaya,Adv,"a little, partially, somewhat"
唯一,ゆいいつ,yuiitsu,Adv,"only, sole, unique"
勇気,ゆうき,yuuki,N,"courage, bravery, boldness"
友好,ゆうこう,yuukou,N,friendship
有効,ゆうこう,yuukou,N,"valid, effectual"
優秀,ゆうしゅう,yuushuu,N,"superiority, excellence"
優勝,ゆうしょう,yuushou,N,"overall victory, championship"
友情,ゆうじょう,yuujou,N,"friendship, fellowship"
友人,ゆうじん,yuujin,N,friend
有能,ゆうのう,yuunou,N,"able, capable, efficient"
郵便,ゆうびん,yuubin,N,"mail, postal service"
ユーモア,ユーモア,yuumoa,N(kat),humor
有利,ゆうり,yuuri,N,"advantageous, better"
床,ゆか,yuka,N,floor
愉快,ゆかい,yukai,い-A,"pleasant, happy"
譲る,ゆずる,yuzuru,V-godan,"to turn over, to assign"
豊か,ゆたか,yutaka,N,"abundant, wealthy, plentiful, rich"
茹でる,ゆでる,yuderu,V-ichi,to boil
許す,ゆるす,yurusu,V-godan,"to permit, to allow, to approve"
夜,よ,yo,N,"evening, night"
夜明け,よあけ,yoake,N,"dawn, daybreak"
酔う,よう,you,V-godan,to get drunk
容易,ようい,youi,N,"easy, simple, plain"
容器,ようき,youki,N,"container, vessel"
陽気,ようき,youki,N,"season, weather, cheerfulness"
要求,ようきゅう,youkyuu,N,"request, demand"
用心,ようじん,youjin,N,"care, precaution, caution"
様子,ようす,yousu,N,"aspect, state, appearance"
要するに,ようするに,yousuruni,N,"in a word, after all, in short …"
要素,ようそ,youso,N,element
要点,ようてん,youten,N,"gist, main point"
曜日,ようび,youbi,N,day of the week
ヨーロッパ,ヨーロッパ,yooroppa,N(kat),Europe
予期,よき,yoki,N,"expectation, forecast"
横切る,よこぎる,yokogiru,V-ichi,"to cross (e.g., arms), to traverse"
汚す,よごす,yogosu,V-godan,"to pollute, to make dirty"
予算,よさん,yosan,N,"estimate, budget"
止す,よす,yosu,V-godan,"to cease, to give up"
