Kanji,Kana,Romaji,Type,Meaning
奨学金,しょうがくきん,shougakukin,N,scholarship
乗客,じょうきゃく,joukyaku,N,passenger
上京,じょうきょう,joukyou,N,proceeding to the capital
状況,じょうきょう,joukyou,N,"state of affairs, situation"
条件,じょうけん,jouken,N,"conditions, terms"
正午,しょうご,shougo,N,"noon, mid-day"
正直,しょうじき,shoujiki,な-A,"honesty, integrity, frankness"
常識,じょうしき,joushiki,N,common sense
少女,しょうじょ,shoujo,N,young girl
少々,しょうしょう,shoushou,Adv,"a little, short  )"
症状,しょうじょう,shoujou,N,"symptoms, condition"
生じる,しょうじる,shoujiru,V-ichi,"to occur, to arise"
状態,じょうたい,joutai,N,"condition, situation"
上達,じょうたつ,joutatsu,N,"improvement, advance"
冗談,じょうだん,joudan,N,a joke
上等,じょうとう,joutou,N,"first class, very good"
衝突,しょうとつ,shoutotsu,N,"collision, conflict"
商人,しょうにん,shounin,N,"trader, shopkeeper, merchant"
承認,しょうにん,shounin,N,"recognition, approval"
少年,しょうねん,shounen,N,"boys, juveniles"
商売,しょうばい,shoubai,N,"trade, business, commerce"
消費,しょうひ,shouhi,N,"consumption, expenditure"
商品,しょうひん,shouhin,N,"commodity, merchandise"
賞品,しょうひん,shouhin,N,"prize, trophy"
消防,しょうぼう,shoubou,N,"fire fighting, fire department"
情報,じょうほう,jouhou,N,"information, intelligence"
証明,しょうめい,shoumei,N,"proof, verification"
省略,しょうりゃく,shouryaku,N,"omission, abbreviation, abridgment"
女王,じょおう,joou,N,queen
職,しょく,shoku,N,employment
職業,しょくぎょう,shokugyou,N,"occupation, business"
食卓,しょくたく,shokutaku,N,dining table
食品,しょくひん,shokuhin,N,foodstuff
植物,しょくぶつ,shokubutsu,N,"plant, vegetation"
食物,しょくもつ,shokumotsu,N,"food, foodstuff"
食欲,しょくよく,shokuyoku,N,appetite
食料,しょくりょう,shokuryou,N,food
食糧,しょくりょう,shokuryou,N,"provisions, rations"
書斎,しょさい,shosai,N,"study, den"
女子,じょし,joshi,N,"woman, girl"
助手,じょしゅ,joshu,N,"helper, assistant"
徐々に,じょじょに,jojoni,Adv,"slowly, little by little"
署名,しょめい,shomei,N,signature
書物,しょもつ,shomotsu,N,books
女優,じょゆう,joyuu,N,actress
処理,しょり,shori,N,"processing, treatment, disposition"
書類,しょるい,shorui,N,"documents, official papers"
知らせ,しらせ,shirase,N,notice
尻,しり,shiri,N,"buttocks, bottom"
知合い,しりあい,shiriai,N,acquaintance
印,しるし,shirushi,N,"mark, symbol, evidence"
城,しろ,shiro,N,castle
進学,しんがく,shingaku,N,going on to university
神経,しんけい,shinkei,N,"nerve, sensitivity"
真剣,しんけん,shinken,な-A,"seriousness, earnestness"
信仰,しんこう,shinkou,N,"faith, belief"
信号,しんごう,shingou,N,"traffic lights, signal, semaphore"
人工,じんこう,jinkou,N,"artificial, man made, human work"
深刻,しんこく,shinkoku,な-A,serious
診察,しんさつ,shinsatsu,N,medical examination
人種,じんしゅ,jinshu,N,race
信じる,しんじる,shinjiru,V-ichi,to believe
人生,じんせい,jinsei,N,"life (e.g., conception to death)"
親戚,しんせき,shinseki,N,relative
新鮮,しんせん,shinsen,N,fresh
心臓,しんぞう,shinzou,N,heart
身体,しんたい,shintai,N,the body
身長,しんちょう,shinchou,N,"height, stature"
慎重,しんちょう,shinchou,な-A,"careful, prudent, cautious"
審判,しんぱん,shinpan,N,"umpire, referee, judgment"
人物,じんぶつ,jinbutsu,N,"character, personality"
進歩,しんぽ,shinpo,N,"improvement, progress, development"
親友,しんゆう,shinyuu,N,"close friend, buddy"
信用,しんよう,shinyou,N,"confidence, dependence"
信頼,しんらい,shinrai,N,"reliance, trust, confidence"
心理,しんり,shinri,N,mentality
人類,じんるい,jinrui,N,"mankind, humanity"
巣,す,su,N,"nest, breeding place"
酢,す,su,N,vinegar
図,ず,zu,N,"figure, drawing, illustration"
水準,すいじゅん,suijun,N,"level, standard"
推薦,すいせん,suisen,N,recommendation
スイッチ,スイッチ,suitchi,N(kat),switch
睡眠,すいみん,suimin,N,sleep
数,すう,suu,N,"number, figure"
数字,すうじ,suuji,N,"numeral, figure"
スープ,スープ,suupu,N(kat),soup
末,すえ,sue,N,"the end of, powder"
姿,すがた,sugata,N,"figure, shape, appearance"
スキー,スキー,sukii,N(kat),ski
救う,すくう,sukuu,V-godan,"to rescue from, to help out of"
すくなくとも,すくなくとも,sukunakutomo,N,at least
優れる,すぐれる,sugureru,V-ichi,"to surpass, to outstrip, to excel"
スケート,スケート,sukeeto,N(kat),"skate, skating"
スケジュール,スケジュール,sukejuuru,N(kat),schedule
少しも,すこしも,sukoshimo,N,"anything of, not one bit"
過ごす,すごす,sugosu,V-godan,"to pass, to spend"
筋,すじ,suji,N,"muscle, string, line"
進める,すすめる,susumeru,V-ichi,"to advance, to promote, to hasten"
勧める,すすめる,susumeru,V-ichi,"to urge  to do, to recommend"
スター,スター,sutaa,N(kat),star
スタイル,スタイル,sutairu,N(kat),style
スタンド,スタンド,sutando,N(kat),stand
頭痛,ずつう,zutsuu,N,headache
ずっと,ずっと,zutto,N,"for a long time, all the time"
すっぱい,すっぱい,suppai,い-A,"sour, acid"
すてき,すてき,suteki,N,"lovely, great"
既に,すでに,sudeni,Adv,already
すなわち,すなわち,sunawachi,N,"that is, namely, e.g."
スピーチ,スピーチ,supiichi,N(kat),speech
全て,すべて,subete,N,"all, the whole, entirely"
済ませる,すませる,sumaseru,V-ichi,to be finished
角,すみ,sumi,N,corner
墨,すみ,sumi,N,ink
すみません (かん),すみません (かん),sumimasen (kan),N,"sorry, excuse me"
澄む,すむ,sumu,V-godan,"to clear (e.g., weather)"
清む,すむ,sumu,V-godan,"to clear (e.g., weather)"
刷る,する,suru,V-suru,to print
為る,する,suru,V-suru,"to do, to attempt"
鋭い,するどい,surudoi,い-A,"pointed, sharp"
すれ違う,すれちがう,surechigau,V-godan,to pass by one another
ずれる,ずれる,zureru,N,"move, off the point"
正,せい,sei,N,"true, regular"
生,せい,sei,N,birth
性,せい,sei,N,"sex, gender"
姓,せい,sei,N,"surname, family name"
所為,せい,sei,N,"cause, reason, fault"
税,ぜい,zei,N,tax
