#,ごい,Vocabulary,Type,Meaning
,,ふく,,
104,吹く,fuku,"Verb, Godan verb, Intransitive verb",to blow (of the wind)
,,ふく,,
105,降る,furu,"Verb, Godan verb, Intransitive verb",to fall
,,ふる,,
106,古い,furui,い-adjective,old (not used for people)
,,ふるい,,
107,二人,futari,Noun,two people; pair; couple
,,ふたり,,
108,二つ,futatsu,"Noun, Numeric",two; 2
,,ふたつ,,
109,太い,futoi,"Adjective, い-adjective",fat; thick
,,ふとい,,
110,二日,futsuka,Noun,the second day of the month / 2 days
,,ふつか,,
111,封筒,fuutou,Noun,envelope
,,ふうとう,,
112,冬,fuyu,Noun,winter
,,ふゆ,,
113,外国,gaikoku,Noun,foreign country
,,がいこく,,
114,外国人,gaikokujin,Noun,foreigner; foreign citizen; foreign national; alien; non-Japanese
,,がいこくじん,,
115,学校,gakkou,Noun,school
,,がっこう,,
116,学生,gakusei,Noun,student
,,がくせい,,
117,玄関,genkan,Noun,entrance
,,げんかん,,
118,元気,genki,"Noun, Adjective, な-adjective",lively; full of spirit; energetic; healthy
,,げんき,,
119,月曜日,getsuyoubi,Noun,Monday
,,げつようび,,
120,銀行,ginkou,Noun,bank
,,ぎんこう,,
121,ギター,gitaa,"Noun, Katakana",guitar
122,五,go,"Noun, Numeric",five; 5
,,ご,,
123,午後,gogo,Noun,afternoon; p.m.
,,ごご,,
124,ご飯,gohan,Noun,"cooked rice, meal"
,,ごはん,,
125,午前,gozen,Noun,morning; a.m.
,,ごぜん,,
126,グラム,guramu,"Noun, Katakana",gram
127,牛肉,gyuuniku,Noun,beef
,,ぎゅうにく,,
128,牛乳,gyuunyuu,Noun,(cow's) milk
,,ぎゅうにゅう,,
129,歯,ha,Noun,tooth
,,は,,
130,八,hachi,"Noun, Numeric",eight: 8
,,はち,,
131,葉書,hagaki,Noun,postcard
,,はがき,,
132,母,haha,Noun,mother
,,はは,,
133,はい,hai,Noun,yes; that is correct​
134,入る,hairu,"Verb, Godan verb, Intransitive verb",to enter; to go into
,,はいる,,
135,灰皿,haizara,Noun,ashtray
,,はいざら,,
136,始まる,hajimaru,"Verb, Godan verb, Intransitive verb",to begin
