#,ごい,Vocabulary,Type,Meaning
,,おんなのこ,,
428,多い,ooi,"Adjective, い-adjective",many; numerous; a lot; large quantity; frequent
,,おおい,,
429,大きい,ookii,"Adjective, い-adjective",big; large; great; important
,,おおきい,,
430,大きな,ookina,Pre-noun adjectival,big; large; great​
,,おおきな,,
431,大勢,oozei,Noun,crowd of people; great number of people
,,おおぜい,,
432,降りる,oriru,"Verb, Ichidan verb, Intransitive verb",to get off
,,おりる,,
433,お酒,osake,Noun,alcohol
,,おさけ,,
434,お皿,osara,Noun,"plate, dish"
,,おさら,,
435,教える,oshieru,"Verb, Ichidan verb, Transitive verb",to teach
,,おしえる,,
436,遅い,osoi,"Adjective, い-adjective",slow; time-consuming; late
,,おそい,,
437,押す,osu,"Verb, Godan verb, Transitive verb",to push; to press​
,,おす,,
438,お手洗い,otearai,Noun,toilet; restroom; lavatory; bathroom
,,おてあらい,,
439,男,otoko,Noun,man; male
,,おとこ,,
440,男の子,otokonoko,"Noun, Expression",boy; male child; baby boy
,,おとこのこ,,
441,大人,otona,Noun,adult
,,おとな,,
442,一昨日,ototoi,Noun,day before yesterday
,,おととい,,
443,一昨年,ototoshi,Noun,year before last
,,おととし,,
444,お父さん,otousan,Noun,father; dad; papa; pa; pop; daddy
,,おとうさん,,
445,弟,otouto,Noun,younger brother
,,おとうと,,
446,終わる,owaru,"Verb, Godan verb, Intransitive verb",to finish; to end
,,おわる,,
447,泳ぐ,oyogu,"Verb, Godan verb, Intransitive verb",to swim
,,およぐ,,
448,パーティー,paatii,"Noun, Katakana",party
449,パン,pan,"Noun, Katakana",bread
450,ページ,peeji,"Noun, Katakana",page
451,ペン,pen,"Noun, Katakana",pen
452,ペット,petto,"Noun, Katakana",pet
453,ポケット,poketto,Noun,pocket
454,ポスト,posuto,"Noun, Katakana",post
455,プール,puuru,"Noun, Katakana",swimming pool
456,来月,raigetsu,Noun,next month
,,らいげつ,,
457,来年,rainen,Noun,next year
,,らいねん,,
458,来週,raishuu,Noun,next week
,,らいしゅう,,
459,ラジオ,rajiio,"Noun, Katakana",radio
460,零,rei,Noun,zero
,,れい,,
461,冷蔵庫,reizouko,Noun,refrigerator
,,れいぞうこ,,
462,レコード,rekoodo,"Noun, Katakana",record
463,練習,renshuu,"Noun, Verb, Suru verb",practice; practicing
,,れんしゅう,,
464,レストラン,resutoran,"Noun, Katakana",restaurant
465,立派,rippa,"Adjective, な-adjective",splendid
,,りっぱ,,
466,六,roku,"Noun, Numeric",six; 6
,,ろく,,
467,廊下,rouka,Noun,corridor; hallway; passageway
,,ろうか,,
468,旅行,ryokou,"Noun, Verb, Suru verb",travel; trip; journey; excursion; tour
,,りょこう,,
469,料理,ryouri,"Noun, Suru verb",cuisine
,,りょうり,,
470,両親,ryoushin,Noun,parents; both parents
,,りょうしん,,
471,留学生,ryuugakusei,Noun,overseas student; exchange student
,,りゅうがくせい,,
472,さあ,saa,Conjunction,well…
473,財布,saifu,Noun,purse; wallet
,,さいふ,,
474,魚,sakana,Noun,fish
,,さかな,,
475,先,saki,"Noun, Prefix, Suffix",previous; prior; first; earlier
,,さき,,
476,咲く,saku,"Verb, Godan verb, Intransitive verb",to bloom
,,さく,,
477,作文,sakubun,Noun,writing; composition
,,さくぶん,,
478,寒い,samui,"Adjective, い-adjective",cold
,,さむい,,
479,三,san,"Noun, Numeric",three; 3
,,さん,,
480,散歩,sanpo,"Noun, Verb, Suru verb",walk; stroll
,,さんぽ,,
481,再来年,sarainen,Noun,year after next
,,さらいねん,,
482,差す,sasu,"Verb, Godan verb, Transitive verb","to stretch out hands, to raise an umbrella"
,,さす,,
483,砂糖,satou,Noun,sugar
,,さとう,,
484,背,se,Noun,height; stature; back; spine
,,せ,,
485,背広,sebiro,Noun,business suit
,,せびろ,,
486,セーター,seetaa,"Noun, Katakana",sweater; jumper
487,生徒,seito,Noun,pupil; student
,,せいと,,
488,石鹼,sekken,Noun,soap
,,せっけん,,
489,狭い,semai,い-adjective,narrow
,,せまい,,
490,千,sen,"Noun, Numeric","1,000; thousand"
,,せん,,
491,先月,sengetsu,Noun,last month
,,せんげつ,,
492,先生,sensei,"Noun, Suffix",teacher; instructor; master
,,せんせい,,
493,先週,senshuu,Noun,last week
,,せんしゅう,,
494,洗濯,sentaku,"Noun, Suru verb",washing; laundry
,,せんたく,,
495,写真,shashin,Noun,photograph; photo
,,しゃしん,,
496,シャツ,shatsu,"Noun, Katakana",shirt
497,シャワー,shawaa,"Noun, Katakana",shower
498,四,shi,"Noun, Numeric",four; 4
,,し,,
499,七,shichi,"Noun, Numeric",seven; 7
,,しち,,
500,仕事,shigoto,"Noun, Verb, Suru verb",work; job; business
,,しごと,,
501,閉まる,shimaru,"Verb, Godan verb, Intransitive verb","to close, to be closed"
,,しまる,,
502,閉める,shimeru,"Verb, Ichidan verb, Transitive verb",to close; to shut
,,しめる,,
503,締める,shimeru,"Verb, Ichidan verb, Transitive verb",to tie; to fasten; to tighten​
,,しめる,,
504,新聞,shinbun,Noun,newspaper
,,しんぶん,,
505,死ぬ,shinu,"Verb, Godan verb, Intransitive verb",to die
,,しぬ,,
506,塩,shio,Noun,salt
,,しお,,
507,白,shiro,Noun,white; innocence; innocent person
,,しろ,,
508,白い,shiroi,"Adjective, い-adjective",white
,,しろい,,
509,知る,shiru,"Verb, Godan verb, Transitive verb",to know
,,しる,,
510,下,shita,Noun,below; down; under; bottom
,,した,,
511,質問,shitsumon,"Noun, Verb, Suru verb",question; inquiry
,,しつもん,,
512,静か,shizuka,"Adjective, な-adjective",quiet
,,しずか,,
513,食堂,shokudou,Noun,cafeteria; dining room
,,しょくどう,,
514,醬油,shouyu,Noun,soy sauce
,,しょうゆ,,
515,宿題,shukudai,Noun,homework; assignment; pending issue
,,しゅくだい,,
516,そば,soba,Noun,near; beside
517,そっち,socchi,Pronoun,that way; ​over there
518,そちら,sochira,Pronoun,"that way (distant from speaker, close to listener); you; your family"
519,そこ,soko,Pronoun,that place​; there
520,その,sono,Pre-noun adjectival,that
521,空,sora,Noun,sky; the air
,,そら,,
522,それ,sore,Pronoun,that
523,それでは,sore dewa,Expression,in that situation
524,外,soto,Noun,outside; exterior;
,,そと,,
525,掃除,souji,"Noun, Suru verb","to clean, to sweep"
,,そうじ,,
526,直ぐに,sugu ni,Adverb,immediately; right away; instantly​
,,すぐに,,
527,水曜日,suiyoubi,Noun,Wednesday
,,すいようび,,
528,スカート,sukaato,"Noun, Katakana",skirt
529,好き,suki,"Noun, Adjective, な-adjective",like
,,すき,,
530,少し,sukoshi,"Noun, Adverb",a little (bit); small quantity; few; short distance
,,すこし,,
531,少ない,sukunai,い-adjective,few; a little; scarce; insufficient; seldom
,,すくない,,
532,住む,sumu,"Verb, Godan verb, Intransitive verb",to live in; to reside; to inhabit; to dwell; to abide
,,すむ,,
533,スポーツ,supootsu,"Noun, Katakana",sport; sports
534,スプーン,supuun,"Noun, Katakana",spoon
535,スリッパ,surippa,"Noun, Katakana",slipper; slippers
536,ストーブ,sutoobu,"Noun, Katakana",heater; stove
537,吸う,suu,"Verb, Godan verb, Transitive verb","to smoke, to suck"
,,すう,,
538,座る,suwaru,"Verb, Godan verb, Intransitive verb",to sit
,,すわる,,
539,涼しい,suzushii,"Adjective, い-adjective","refreshing, cool"
,,すずしい,,
540,たばこ,tabako,Noun,tobacco; cigarette
541,食べ物,tabemono,Noun,food
,,たべもの,,
542,食べる,taberu,"Verb, Ichidan verb, Intransitive verb",to eat
,,たべる,,
543,多分,tabun,"Adjective, な-adjective, Adverb",perhaps; probably
,,たぶん,,
544,大変,taihen,"Noun, Adjective, な-adjective, Adverb",very; greatly; terribly; serious; difficult
,,たいへん,,
545,大切,taisetsu,"Noun, Adjective, な-adjective",important; necessary; indispensable; beloved
,,たいせつ,,
546,大使館,taishikan,Noun,embassy
,,たいしかん,,
547,高い,takai,"Adjective, い-adjective",high; tall; expensive; above average
,,たかい,,
548,沢山,takusan,"Noun, Adverbial Noun, Adjective, な-adjective",many
,,たくさん,,
549,タクシー,takushii,"Noun, Katakana",taxi
550,卵,tamago,Noun,eggs; egg
,,たまご,,
551,誕生日,tanjoubi,Noun,birthday
,,たんじょうび,,
552,頼む,tanomu,"Verb, Godan verb, Transitive verb",to ask
,,たのむ,,
553,楽しい,tanoshii,"Adjective, い-adjective",enjoyable; fun
,,たのしい,,
554,縦,tate,Noun,"length,height"
,,たて,,
555,建物,tatemono,Noun,building
,,たてもの,,
556,立つ,tatsu,"Verb, Godan verb, Intransitive verb",to stand; to stand up​
,,たつ,,
557,手,te,Noun,hand; arm
,,て,,
558,テーブル,teeburu,"Noun, Katakana",table
559,テープ,teepu,"Noun, Katakana",tape
560,テープレコーダー,teepu rekoodaa,"Noun, Katakana",tape recorder
,,,,
561,手紙,tegami,Noun,Letter (message)​
,,てがみ,,
562,天気,tenki,Noun,weather; the elements
,,てんき,,
563,テレビ,terebi,"Noun, Katakana",television; TV​
564,テスト,tesuto,"Noun, Suru verb, Katakana",examination; quiz; test
565,戸,to,Noun,Japanese style door
,,と,,
566,飛ぶ,tobu,"Verb, Godan verb, Intransitive verb",to fly; to hop
,,とぶ,,
567,トイレ,toire,"Noun, Katakana",toilet
568,時計,tokei,Noun,watch; clock; timepiece
,,とけい,,
569,時,toki,Noun,time; moment; occasion; chance
,,とき,,
,,,,
570,時々,tokidoki,"Noun, Adverb",sometimes; at times
,,ときどき,,
571,所,tokoro,"Noun, Suffix",place
,,ところ,,
572,止まる,tomaru,"Verb, Godan verb, Intransitive verb",to stop; to come to a halt
,,とまる,,
573,友達,tomodachi,Noun,friend; companion
,,ともだち,,
574,隣,tonari,Noun,next door to
,,となり,,
575,遠い,tooi,"Adjective, い-adjective",far
,,とおい,,
576,十日,tooka,Noun,tenth day of the month / 10 days
,,とおか,,
577,鳥,tori,Noun,bird
,,とり,,
578,鶏肉,toriniku,Noun,chicken meat
,,とりにく,,
579,取る,toru,"Verb, Godan verb, Transitive verb",to take; to pick up; to harvest; to earn; to win; to choose
,,とる,,
580,撮る,toru,"Verb, Godan verb, Transitive verb",to take a photo or record a film
,,とる,,
581,年,toshi,Noun,year; age
,,とし,,
582,図書館,toshokan,Noun,library
,,としょかん,,
583,次,tsugi,Noun,next
,,つぎ,,
584,一日,tsuitachi,Noun,first day of the month
,,ついたち,,
585,疲れる,tsukareru,"Verb, Ichidan verb, Intransitive verb",to get tired
,,つかれる,,
586,使う,tsukau,"Verb, Godan verb, Transitive verb",to use
,,つかう,,
587,つける,tsukeru,"Verb, Ichidan verb, Transitive verb",to turn on
588,付ける,tsukeru,"Verb, Ichidan verb, Transitive verb",to attach; affix; add; apply
,,つける,,
589,着く,tsuku,"Verb, Godan verb, Intransitive verb",to arrive at
,,つく,,
590,机,tsukue,Noun,desk
,,つくえ,,
591,作る,tsukuru,"Verb, Godan verb, Transitive verb",to make
,,つくる,,
592,詰まらない,tsumaranai,"Adjective, い-adjective",boring
,,つまらない,,
593,冷たい,tsumetai,い-adjective,cold to the touch
,,つめたい,,
594,勤める,tsutomeru,"Verb, Ichidan verb, Transitive verb",to work for someone
,,つとめる,,
595,強い,tsuyoi,"Adjective, い-adjective",powerful
,,つよい,,
596,上,ue,"Noun, Suffix",above; up; over; top; surface
,,うえ,,
597,生まれる,umareru,"Verb, Ichidan verb, Intransitive verb",to be born
,,うまれる,,
598,海,umi,Noun,sea
,,うみ,,
599,売る,uru,"Verb, Godan verb, Transitive verb",to sell
,,うる,,
600,煩い,urusai,い-adjective,"noisy, annoying"
,,うるさい,,
601,後ろ,ushiro,Noun,back; behind; rear
,,うしろ,,
602,薄い,usui,"Adjective, い-adjective",thin; weak
,,うすい,,
603,歌,uta,Noun,song
,,うた,,
604,歌う,utau,"Verb, Godan verb, Intransitive verb, Transitive verb",to sing
,,うたう,,
605,上着,uwagi,Noun,coat; tunic; jacket; outer garment
,,うわぎ,,
606,ワイシャツ,wai shatsu,"Noun, Katakana, Wasei",shirt
607,若い,wakai,"Adjective, い-adjective",young
,,わかい,,
608,分かる,wakaru,"Verb, Godan verb, Intransitive verb",to understand; to comprehend; to grasp; to see; to get; to follow
,,わかる,,
609,悪い,warui,"Adjective, い-adjective",bad; poor; undesirable
,,わるい,,
610,忘れる,wasureru,"Verb, Ichidan verb, Transitive verb",to forget
,,わすれる,,
611,渡る,wataru,"Verb, Godan verb, Intransitive verb",to go across
,,わたる,,
612,私,watashi,Pronoun,I; myself
,,わたし,,
613,渡す,watasu,"Verb, Godan verb, Transitive verb",to hand over
,,わたす,,
614,山,yama,Noun,mountain; hill
,,やま,,
615,八百屋,yaoya,Noun,greengrocer; fruit and vegetable shop; versatile
,,やおや,,
616,やる,yaru,"Verb, Godan verb, Transitive verb",to do
617,野菜,yasai,Noun,vegetable
,,やさい,,
618,易しい,yasashii,"Adjective, い-adjective","easy, simple"
,,やさしい,,
619,安い,yasui,"Adjective, い-adjective",cheap; inexpensive
,,やすい,,
620,休み,yasumi,Noun,rest; vacation; holiday
,,やすみ,,
621,休む,yasumu,"Verb, Godan verb, Intransitive verb",to be absent; to take a day off; to rest
,,やすむ,,
622,八つ,yattsu,"Noun, Numeric",eight: 8
,,やっつ,,
623,呼ぶ,yobu,"Verb, Godan verb, Transitive verb","to call out, to invite"
,,よぶ,,
624,良い,yoi/ii,"Adjective, い-adjective",good
,,よい/いい,,
625,四日,yokka,Noun,fourth day of the month / 4 days
,,よっか,,
626,横,yoko,Noun,"beside,side,width"
,,よこ,,
627,よく,yoku,Adverb,"often, well"
628,読む,yomu,"Verb, Godan verb, Transitive verb",to read; to guess; to predict; to read (someone's thoughts)
,,よむ,,
629,夜,yoru,Noun,evening; night
,,よる,,
630,四つ,yotsu,"Noun, Numeric",four; 4
,,よつ,,
631,洋服,youfuku,Noun,western clothes
,,ようふく,,
632,八日,youka,Noun,eighth day of the month / 8 days
,,ようか,,
633,弱い,yowai,"Adjective, い-adjective",weak
,,よわい,,
634,雪,yuki,Noun,snow
,,ゆき,,
635,ゆっくり,yukkuri,Adverb,slowly
636,昨夜,yuube,Noun,last night
,,ゆうべ,,
637,郵便局,yuubinkyoku,Noun,post office
,,ゆうびんきょく,,
638,夕方,yuugata,Noun,evening; dusk
,,ゆうがた,,
639,夕飯,yuuhan,Noun,evening meal
,,ゆうはん,,
640,有名,yuumei,"Noun, Adjective, な-adjective",famous
,,ゆうめい,,
641,雑誌,zasshi,Noun,magazine
,,ざっし,,
642,全部,zenbu,"Noun, Adverbial Noun",all
,,ぜんぶ,,
643,ゼロ,zero,Noun,zero
644,ズボン,zubon,"Noun, Katakana",trousers; pants
