Kanji,Kana,Romaji,Type,Meaning
ああ,ああ,aa,Expr,"Ah!, Oh!"
会う,あう,au,V-godan,"to meet, to see"
青,あお,ao,N,blue
青い,あおい,aoi,い-A,blue
赤,あか,aka,N,red
赤い,あかい,akai,い-A,red
明るい,あかるい,akarui,い-A,"bright, cheerful"
秋,あき,aki,N,fall
開く,あく,aku,V-godan,"to open, to become open"
開ける,あける,akeru,V-ichi,to open
上げる,あげる,ageru,V-ichi,"to raise, to lift"
朝,あさ,asa,N,morning
朝御飯,あさごはん,asagohan,N,breakfast
明後日,あさって,asatte,N,day after tomorrow
足; 脚,あし,ashi,N,"foot, leg"
明日,あした,ashita,N,tomorrow
あそこ,あそこ,asoko,Pron,"there, over there, that place"
遊ぶ,あそぶ,asobu,V-godan,"to play, to spend time pleasantly"
暖かい,あたたかい,atatakai,い-A,warm
頭,あたま,atama,N,head
新しい,あたらしい,atarashii,い-A,new
あちら,あちら,achira,N,this way
暑い,あつい,atsui,い-A,"hot, warm"
熱い,あつい,atsui,い-A,hot
厚い,あつい,atsui,い-A,"kind, warm, thick, deep"
あっち,あっち,atchi,N,over there
後,あと,ato,N,"afterwards, in the future"
あなた,あなた,anata,Pron,you
兄,あに,ani,N,older brother
姉,あね,ane,N,older sister
アパート,アパート,apaato,N(kat),apartment
あの,あの,ano,N,"that over there, like that"
浴びる,あびる,abiru,V-ichi,"to bathe, to shower"
危ない,あぶない,abunai,い-A,"dangerous, critical"
甘い,あまい,amai,い-A,"generous, sweet"
余り,あまり,amari,N,"not very, surplus"
雨,あめ,ame,N,rain
飴,あめ,ame,N,candy
洗う,あらう,arau,V-godan,to wash
在る,ある,aru,V-godan,"to be, to have"
有る,ある,aru,V-godan,"to be, to have"
歩く,あるく,aruku,V-godan,to walk
あれ,あれ,are,Pron,that one
いい; よい,いい; よい,ii; yoi,い-A,good
いいえ,いいえ,iie,Expr,"no, not at all"
言う,いう,iu,V-godan,to say
家,いえ,ie,N,"house, home"
いかが,いかが,ikaga,Pron,"how, in what way"
行く,いく; ゆく,iku; yuku,V-godan,to go
いくつ,いくつ,ikutsu,Pron,"how many, how old"
いくら,いくら,ikura,Pron,"how much, how many"
池,いけ,ike,N,pond
医者,いしゃ,isha,N,"doctor, physician"
椅子,いす,isu,N,chair
忙しい,いそがしい,isogashii,い-A,"busy (people, days)"
痛い,いたい,itai,い-A,"hurt, painful, sore"
一,いち,ichi,N,one
一日,いちにち,ichinichi,N,one day
一番,いちばん,ichiban,N,"best, first, number one"
いつ,いつ,itsu,Pron,when
五日,いつか,itsuka,N,"five days, fifth day of the month"
一緒,いっしょ,issho,Adv,together
五つ,いつつ,itsutsu,N,five things
いつも,いつも,itsumo,Adv,"always, usually, every time, never"
犬,いぬ,inu,N,dog
今,いま,ima,N,now
意味,いみ,imi,N,"meaning, significance"
妹,いもうと,imouto,N,younger sister
嫌,いや,iya,N,"disagreeable, detestable"
入口,いりぐち,iriguchi,N,entrance
居る,いる,iru,N,"to be, to exist"
要る,いる,iru,V-ichi,to need
入れる,いれる,ireru,V-ichi,to put in
色,いろ,iro,N,color
色々,いろいろ,iroiro,な-A,various
上,うえ,ue,N,"above (up, top, etc.), over"
後ろ,うしろ,ushiro,N,"back, behind, rear"
薄い,うすい,usui,い-A,"thin, weak"
歌,うた,uta,N,a song
歌う,うたう,utau,V-godan,to sing
うち,うち,uchi,N,"home, house, my place"
生まれる,うまれる,umareru,V-ichi,to be born
海,うみ,umi,N,"sea, beach"
売る,うる,uru,V-godan,to sell
うるさい,うるさい,urusai,N,"noisy, annoying"
上着,うわぎ,uwagi,N,"coat, jacket"
絵,え,e,N,"a painting, a picture, a drawing"
映画,えいが,eiga,N,"movie, film"
映画館,えいがかん,eigakan,N,"movie theater, cinema"
英語,えいご,eigo,N,English
ええ,ええ,ee,Expr,yes
駅,えき,eki,N,station
